filename,width,height,class,xmin,ymin,xmax,ymax
36_5.jpg,164,219,waldo,48,1,72,30
36_5.jpg,164,219,waldo,124,5,150,38
29_2.jpg,275,366,waldo,235,14,256,39
12_4.jpg,611,814,waldo,289,284,319,330
32_1.jpg,225,300,waldo,97,20,134,68
14_2.jpg,624,832,waldo,199,443,236,485
30_3.jpg,279,372,waldo,146,242,165,263
16_1.jpg,1525,2033,waldo,571,42,1097,653
30_2.jpg,172,229,waldo,109,77,125,96
8_1.jpg,1320,1760,waldo,218,125,301,235
8_1.jpg,1320,1760,waldo,766,287,790,324
14_3.jpg,390,520,waldo,171,85,209,128
29_3.jpg,235,313,waldo,191,264,209,290
36_4.jpg,350,467,waldo,32,19,57,48
36_4.jpg,350,467,waldo,130,5,158,43
36_4.jpg,350,467,waldo,216,4,246,38
36_4.jpg,350,467,waldo,310,7,335,40
29_1.jpg,708,944,waldo,619,591,643,620
14_1.jpg,1332,1777,waldo,112,1363,155,1414
32_2.jpg,178,237,waldo,50,20,87,68
8_3.jpg,682,909,waldo,82,86,169,187
8_3.jpg,682,909,waldo,633,250,657,280
16_3.jpg,990,1320,waldo,32,43,549,668
30_1.jpg,486,648,waldo,310,495,328,518
16_2.jpg,795,1060,waldo,135,51,659,660
8_2.jpg,495,660,waldo,246,178,272,206
32_3.jpg,102,136,waldo,21,19,57,69
10_4.jpg,324,432,waldo,51,44,66,70
36_3.jpg,188,250,waldo,36,27,45,38
34_1.jpg,375,500,waldo,161,1,261,131
12_2.jpg,468,624,waldo,41,50,68,96
8_6.jpg,947,1263,waldo,84,130,167,230
8_6.jpg,947,1263,waldo,627,291,655,321
14_4.jpg,971,1295,waldo,198,1130,237,1176
14_5.jpg,356,475,waldo,121,227,157,267
12_3.jpg,602,803,waldo,542,54,571,103
10_1.jpg,735,980,waldo,77,81,131,148
10_1.jpg,735,980,waldo,363,157,381,184
36_2.jpg,259,345,waldo,45,270,54,279
36_2.jpg,259,345,waldo,118,19,145,48
36_2.jpg,259,345,waldo,217,4,249,42
10_3.jpg,231,308,waldo,27,49,80,113
12_1.jpg,1168,1557,waldo,738,478,769,525
34_2.jpg,240,320,waldo,25,1,127,129
8_5.jpg,483,644,waldo,105,55,131,86
8_4.jpg,525,700,waldo,133,97,220,199
34_3.jpg,165,220,waldo,24,1,130,129
36_1.jpg,471,629,waldo,77,267,87,280
36_1.jpg,471,629,waldo,152,17,179,48
36_1.jpg,471,629,waldo,252,4,280,42
36_1.jpg,471,629,waldo,339,4,365,43
36_1.jpg,471,629,waldo,430,6,460,41
10_2.jpg,496,661,waldo,41,45,95,113
10_2.jpg,496,661,waldo,328,119,345,149
17_3.jpg,384,512,waldo,269,36,288,66
15_1.jpg,596,795,waldo,246,384,258,405
33_2.jpg,162,216,waldo,1,1,149,178
9_3.jpg,290,387,waldo,229,330,259,364
28_1.jpg,409,545,waldo,232,485,247,505
11_5.jpg,432,576,waldo,217,279,238,306
11_4.jpg,243,324,waldo,67,91,90,119
9_2.jpg,367,489,waldo,151,434,178,469
31_1.jpg,192,256,waldo,99,5,137,53
17_2.jpg,340,453,waldo,142,69,162,101
31_3.jpg,73,97,waldo,14,4,53,53
33_1.jpg,192,256,waldo,18,1,182,180
15_2.jpg,238,317,waldo,185,267,198,286
28_2.jpg,270,360,waldo,233,140,249,160
13_4.jpg,235,313,waldo,107,142,117,157
28_3.jpg,216,288,waldo,81,140,95,160
9_1.jpg,714,951,waldo,231,734,258,769
15_3.jpg,303,404,waldo,41,40,54,57
17_1.jpg,923,1230,waldo,413,249,436,288
31_2.jpg,126,168,waldo,32,5,71,53
13_1.jpg,648,864,waldo,537,272,548,287
35_2.jpg,281,374,waldo,28,47,229,254
11_3.jpg,635,847,waldo,459,759,482,788
11_2.jpg,450,600,waldo,338,490,361,520
35_3.jpg,281,374,waldo,6,53,213,257
9_4.jpg,269,359,waldo,100,189,129,225
17_4.jpg,317,423,waldo,237,241,257,272
15_4.jpg,215,286,waldo,135,95,148,112
28_4.jpg,165,220,waldo,21,1,35,20
35_1.jpg,280,374,waldo,69,54,270,259
13_2.jpg,509,679,waldo,308,274,318,289
11_1.jpg,1371,1828,waldo,100,1528,125,1561
13_3.jpg,236,314,waldo,182,29,192,43
22_3.jpg,123,164,waldo,60,52,73,71
20_1.jpg,1499,1999,waldo,254,1631,297,1688
1_3.jpg,730,973,waldo,574,452,604,511
3_1.jpg,1010,1346,waldo,875,460,910,503
1_2.jpg,938,1251,waldo,707,508,743,562
7_4.jpg,539,719,waldo,34,299,68,348
22_2.jpg,137,182,waldo,11,24,25,44
19_4.jpg,372,496,waldo,167,265,181,284
5_4.jpg,470,627,waldo,214,207,241,248
20_2.jpg,424,565,waldo,208,248,249,298
3_2.jpg,512,683,waldo,241,395,277,432
3_3.jpg,422,562,waldo,368,431,401,469
1_1.jpg,711,947,waldo,197,252,233,305
20_3.jpg,547,729,waldo,253,604,294,656
22_1.jpg,290,387,waldo,122,114,135,133
5_5.jpg,351,468,waldo,49,320,72,360
19_3.jpg,386,515,waldo,277,333,290,351
5_1.jpg,1320,1760,waldo,492,592,524,638
7_3.jpg,525,700,waldo,242,269,278,319
26_1.jpg,481,642,waldo,412,300,431,325
24_3.jpg,264,352,waldo,49,302,69,324
24_2.jpg,194,259,waldo,115,202,136,225
7_2.jpg,555,740,waldo,75,544,109,593
19_2.jpg,316,421,waldo,44,322,57,340
5_2.jpg,596,795,waldo,405,594,431,634
20_4.jpg,289,385,waldo,17,19,55,68
26_2.jpg,183,244,waldo,114,130,132,152
24_1.jpg,691,921,waldo,426,864,446,886
26_3.jpg,249,332,waldo,179,3,200,25
20_5.jpg,541,721,waldo,182,354,222,406
7_1.jpg,1065,1419,waldo,374,951,410,1005
5_3.jpg,523,697,waldo,412,594,438,634
19_1.jpg,645,860,waldo,296,622,310,643
2_2.jpg,355,474,waldo,26,48,49,83
21_2.jpg,541,721,waldo,152,620,185,654
23_1.jpg,676,901,waldo,303,455,326,488
21_3.jpg,500,667,waldo,418,519,448,551
2_3.jpg,154,205,waldo,79,153,102,189
2_1.jpg,710,946,waldo,81,520,104,557
21_1.jpg,1095,1460,waldo,654,1306,689,1345
23_3.jpg,206,274,waldo,167,30,188,60
23_2.jpg,221,295,waldo,102,125,122,155
18_4.jpg,208,277,waldo,65,55,93,91
6_4.jpg,263,351,waldo,139,180,172,224
27_2.jpg,268,357,waldo,30,17,48,42
21_4.jpg,356,474,waldo,161,326,191,358
4_2.jpg,889,1186,waldo,331,270,356,299
4_3.jpg,357,476,waldo,26,41,48,68
18_1.jpg,705,941,waldo,373,53,409,92
6_1.jpg,1090,1454,waldo,754,403,796,454
27_3.jpg,237,316,waldo,100,82,120,107
25_1.jpg,156,208,waldo,47,44,61,61
25_3.jpg,199,265,waldo,57,45,69,60
27_1.jpg,512,683,waldo,118,80,139,109
6_3.jpg,626,835,waldo,565,24,604,72
18_3.jpg,373,497,waldo,324,33,352,68
4_1.jpg,954,1272,waldo,771,277,792,306
